country,iso2c,year,gdp_ppp_pc,GDP_constUSD,population
Austria,AT,1960,,12051.1511700385,7047539
Austria,AT,1961,,12648.9746969392,7086299
Austria,AT,1962,,12904.669883596,7129864
Austria,AT,1963,,13352.6511315776,7175811
Austria,AT,1964,,14076.2761631952,7223801
Austria,AT,1965,,14471.8213231195,7270889
Austria,AT,1966,,15181.5887613761,7322066
Austria,AT,1967,,15521.8096470115,7376998
Austria,AT,1968,,16132.0095204536,7415403
Austria,AT,1969,,17085.3299659169,7441055
Austria,AT,1970,,18101.9919477322,7467086
Austria,AT,1971,,18943.1811467755,7500482
Austria,AT,1972,,20002.5561105758,7544201
Austria,AT,1973,,20864.8474583279,7586115
Austria,AT,1974,,21650.4867976498,7599038
Austria,AT,1975,,21629.0463028275,7578903
Austria,AT,1976,,22659.317777419,7565525
Austria,AT,1977,,23801.2675449624,7568430
Austria,AT,1978,,23770.3662432365,7562305
Austria,AT,1979,,25086.400193858,7549425
Austria,AT,1980,,25520.74055574,7549433
Austria,AT,1981,,25419.0096476102,7568710
Austria,AT,1982,,25911.6609400039,7574140
Austria,AT,1983,,26725.1907228527,7561910
Austria,AT,1984,,26740.5772417596,7561434
Austria,AT,1985,,27395.8726479906,7564985
Austria,AT,1986,,28008.5545890344,7569794
Austria,AT,1987,,28370.7178819139,7574586
Austria,AT,1988,,29264.3235778252,7585317
Austria,AT,1989,,30265.1932308117,7619567
Austria,AT,1990,19473.0819594859,31340.6812927165,7677850
Austria,AT,1991,20617.5829787127,32097.2410936755,7754891
Austria,AT,1992,21293.2648588333,32410.53977326,7840709
Austria,AT,1993,21732.8710942007,32313.7118722637,7905633
Austria,AT,1994,22642.8477256733,32962.8174189767,7936118
Austria,AT,1995,23698.109130502,33790.4849857504,7948278
Austria,AT,1996,24560.6240085942,34537.7395746518,7959017
Austria,AT,1997,25426.662812476,35220.8877426259,7968041
Austria,AT,1998,26675.6502354234,36442.2882333384,7976789
Austria,AT,1999,27606.4830303088,37664.9432792116,7992324
Austria,AT,2000,29381.6848770115,38842.8905195831,8011566
Austria,AT,2001,29708.49357024,39184.8085972636,8042293
Austria,AT,2002,31178.6933297272,39636.4826114521,8081957
Austria,AT,2003,32145.8705108106,39815.2219533064,8121423
Austria,AT,2004,33774.0180945488,40651.2266155811,8171966
Austria,AT,2005,35013.7140443423,41281.2707559522,8227829
Austria,AT,2006,37659.732973109,42496.3510516831,8268641
Austria,AT,2007,39435.60573762,43937.7128905744,8295487
Austria,AT,2008,41316.225176699,44440.055889928,8321496
Austria,AT,2009,40918.5200993586,42655.1921304813,8343323
Austria,AT,2010,42007.2937461255,43334.5089644691,8363404
Austria,AT,2011,44452.7327457999,44451.0001918473,8391643
Austria,AT,2012,46457.3457770311,44549.881698231,8429991
Austria,AT,2013,47922.0491207455,44299.3781845446,8479823
Austria,AT,2014,48799.7154676985,44245.1687398338,8546356
Austria,AT,2015,49865.9039424185,44195.8175947748,8642699
Austria,AT,2016,52684.0171130768,44590.2516278164,8736668
Austria,AT,2017,54172.9867888254,45281.723399938,8797566
Austria,AT,2018,56960.0914258929,46154.6250956541,8840521
Austria,AT,2019,59756.6865499955,46647.0809634335,8879920
Austria,AT,2020,56999.9398541031,43455.7000665738,8916864
Austria,AT,2021,59552.6542830964,45238.3907144733,8955797
Austria,AT,2022,,,
Belgium,BE,1960,,11734.306170839,9153489
Belgium,BE,1961,,12277.6347194523,9183948
Belgium,BE,1962,,12866.2287658556,9220578
Belgium,BE,1963,,13326.1132693154,9289770
Belgium,BE,1964,,14118.902318486,9378113
Belgium,BE,1965,,14489.4450965924,9463667
Belgium,BE,1966,,14846.0973473565,9527807
Belgium,BE,1967,,15334.7678862416,9580991
Belgium,BE,1968,,15915.1956538995,9618756
Belgium,BE,1969,,16922.3543777831,9646032
Belgium,BE,1970,,17849.4947135456,9655549
Belgium,BE,1971,,18527.1487401867,9673162
Belgium,BE,1972,,19432.03103295,9711115
Belgium,BE,1973,,20607.1809135777,9741720
Belgium,BE,1974,,21480.261317053,9772419
Belgium,BE,1975,,20997.2068325293,9800700
Belgium,BE,1976,,22144.5236139589,9818227
Belgium,BE,1977,,22255.6844094244,9830358
Belgium,BE,1978,,22866.8232310329,9839534
Belgium,BE,1979,,23381.1272443226,9848382
Belgium,BE,1980,,24393.2981775195,9859242
Belgium,BE,1981,,24325.8132752066,9858982
Belgium,BE,1982,,24477.1998826276,9856303
Belgium,BE,1983,,24555.480969759,9855520
Belgium,BE,1984,,25161.4909793831,9855372
Belgium,BE,1985,,25569.4893301131,9858308
Belgium,BE,1986,,26026.2804981502,9861823
Belgium,BE,1987,,26603.9280981301,9870234
Belgium,BE,1988,,27772.0520454683,9901664
Belgium,BE,1989,,28631.3190930238,9937697
Belgium,BE,1990,18688.6467366551,29441.6621481593,9967379
Belgium,BE,1991,19601.8239024872,29870.1477747077,10004486
Belgium,BE,1992,20272.9885926744,30204.5637515713,10045158
Belgium,BE,1993,20473.7868382439,29797.4063198776,10084475
Belgium,BE,1994,21519.3380677459,30664.3078546408,10115603
Belgium,BE,1995,22447.4638004465,31329.892072751,10136811
Belgium,BE,1996,22744.6996622345,31681.9363634502,10156637
Belgium,BE,1997,23732.2210706898,32804.3605402361,10181245
Belgium,BE,1998,24369.4867183382,33376.5748398965,10203008
Belgium,BE,1999,25440.8411888638,34479.9064484695,10226419
Belgium,BE,2000,27789.9435461287,35674.7912530713,10251250
Belgium,BE,2001,28793.6110538361,35943.2379602838,10286570
Belgium,BE,2002,30282.2886450283,36393.2417665704,10332785
Belgium,BE,2003,30934.4414026198,36617.3803840227,10376133
Belgium,BE,2004,32063.2607941715,37761.2813189981,10421137
Belgium,BE,2005,33177.8909458158,38426.0519083731,10478617
Belgium,BE,2006,35256.9283814906,39147.7635597291,10547958
Belgium,BE,2007,36795.8471504369,40290.2277563956,10625700
Belgium,BE,2008,37883.3319417819,40151.8498740394,10709973
Belgium,BE,2009,37749.9091897753,39025.2207908291,10796493
Belgium,BE,2010,39838.040511042,39777.9252767366,10895586
Belgium,BE,2011,40942.372710454,39929.0951439359,11038264
Belgium,BE,2012,42290.7620520019,39975.5736402458,11106932
Belgium,BE,2013,43671.11959259,39970.3174974794,11159407
Belgium,BE,2014,44929.685593416,40421.4207919096,11209057
Belgium,BE,2015,46200.904454307,41008.296719472,11274196
Belgium,BE,2016,48597.3999826201,41318.0196388476,11331422
Belgium,BE,2017,50442.2705419624,41825.7628316432,11375158
Belgium,BE,2018,52535.23221854,42382.3182763247,11427054
Belgium,BE,2019,55753.8494538306,43098.4847198889,11488980
Belgium,BE,2020,54202.5200672849,40612.3924560653,11538604
Belgium,BE,2021,59387.880265448,42901.4320595797,11592952
Belgium,BE,2022,,,
Bulgaria,BG,1960,,,7867374
Bulgaria,BG,1961,,,7943118
Bulgaria,BG,1962,,,8012946
Bulgaria,BG,1963,,,8078145
Bulgaria,BG,1964,,,8144340
Bulgaria,BG,1965,,,8204168
Bulgaria,BG,1966,,,8258057
Bulgaria,BG,1967,,,8310226
Bulgaria,BG,1968,,,8369603
Bulgaria,BG,1969,,,8434172
Bulgaria,BG,1970,,,8489574
Bulgaria,BG,1971,,,8536395
Bulgaria,BG,1972,,,8576200
Bulgaria,BG,1973,,,8620967
Bulgaria,BG,1974,,,8678745
Bulgaria,BG,1975,,,8720742
Bulgaria,BG,1976,,,8758599
Bulgaria,BG,1977,,,8804183
Bulgaria,BG,1978,,,8814032
Bulgaria,BG,1979,,,8825940
Bulgaria,BG,1980,,3428.40951178545,8861535
Bulgaria,BG,1981,,3584.44137344303,8891117
Bulgaria,BG,1982,,3657.28776629272,8917457
Bulgaria,BG,1983,,3773.31598438984,8939738
Bulgaria,BG,1984,,3892.35683500023,8960679
Bulgaria,BG,1985,,3996.86480200571,8960547
Bulgaria,BG,1986,,4166.1416695377,8958171
Bulgaria,BG,1987,,4411.8862225923,8971359
Bulgaria,BG,1988,,4889.25631992299,8981446
Bulgaria,BG,1989,,4784.05464613583,8876972
Bulgaria,BG,1990,7551.15417358242,4427.01071363047,8718289
Bulgaria,BG,1991,7218.36789714754,4093.47667850379,8632367
Bulgaria,BG,1992,6919.86889339485,3836.76395475034,8540164
Bulgaria,BG,1993,7034.92845471041,3810.24372212006,8472313
Bulgaria,BG,1994,7340.66650240459,3892.71107002069,8443591
Bulgaria,BG,1995,7743.44322933175,4021.96452989335,8406067
Bulgaria,BG,1996,6848.99369971199,4253.20220185448,8362826
Bulgaria,BG,1997,5750.51171536098,3675.15273864966,8312068
